Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,471551673.57224068,358900820.135999,95313248.13599995,96274285.71428576,16376567.72195493,471551673.57224068,358900820.135999,95313248.13599995,96274285.71428576,16376567.72195493 
July,696164658.868505,358900820.135999,95313248.13599995,40114285.7142857,297149553.0182178,696164658.868505,358900820.135999,95313248.13599995,40114285.7142857,297149553.0182178 
