Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,471470304.5966713,358900820.135999,95313248.13599995,96274285.71428576,16295198.746385422,471470304.5966713,358900820.135999,95313248.13599995,96274285.71428576,16295198.746385422 
July,692314937.250098,358900820.135999,95313248.13599995,40114285.7142857,293299831.3998108,692314937.250098,358900820.135999,95313248.13599995,40114285.7142857,293299831.3998108 
