Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod) 
January,471471365.1637109,358900820.135999,95313248.13599995,96274285.71428576,16296259.313425148,471471365.1637109,358900820.135999,95313248.13599995,96274285.71428576,16296259.313425148 
July,682470677.9873784,358900820.135999,95313248.13599995,40114285.7142857,283455572.13709136,682470677.9873784,358900820.135999,95313248.13599995,40114285.7142857,283455572.13709136 
